ID,Status,ZonalOffice,Company,Incident_Num,Incident_Date,Report_Date,Contained,Estimated_Quantity,Recovered,Spill_stop_date,Facility,Cause,Initial_containment_measure,Site,Latitude,Longitude,LGA,Estimated_Spill_Area,Spiill_Area_Habitat,Impact,State,,,,,,,,,,,,,,,,,,,
233956,confirmed,ph,NAOC,2022/LAR/078,6/23/2022,6/23/2022,co,0.65,,6/24/2022,fl,sab,pt,"OBIAFU 8T FLOWLINE AT OBIAFU FIELD, OMOKU, RIVERS STATE.",5.389528,6.481972,Ndokwa-East,0,la,"The JIV team noticed that the inccident point was wrapped with wraps for oil theft activities. a 75mm long hacksaw cut was obseerved on the flowline at 4-6 O' Clock position. Unknown person(s) dug a shallow pit for containment and scooping of spilled condensate. The spill was contained adequately in the shallow pit, no further spread. Repairs were done immediately after the JIV was conducted.",RI,,,,,6/24/2022,"nosdra,dpr,mnstry,cmmnt,cmpny",6/24/2022,6/24/2022,Manual,7/25/2022,,,,,,,,,"2022-07-29 AB008, 2022-08-01 PH003"
233962,confirmed,ph,NAOC,2022/LAR/075,6/20/2022,6/20/2022,co,0.65,,6/24/2022,fl,sab,pt,"OBIAFU 37LS FLOWLINE AT OBIAFU FIELD, OMOKU, RIVERS STATE",5.389528,6.648611,Ogba/Egbema/Ndoni,0,la,The JIV team observed unknown person(s) wrapped the incident point with wraps for oil theft activity. A 75mm long hacksaw cut was observed on the flowline at 4-6 O' Clock position. The spill was adequately contained in a pit dug by unknown person(s) for scooping of condensate. Repair was done on the affected section of the flowline.,RI,,,,,6/24/2022,"nosdra,dpr,mnstry,cmpny,cmmnt",6/24/2022,6/24/2022,Manual,7/25/2022,,,,,,,,,2022-08-12 AB017
231952,reviewed,ph,SPDC,2022_468623,6/18/2022,6/18/2022,no,,,6/20/2022,pl,sab,,28'' BOMU-BONNY TRANS NIGER PIPELINE @OWOKIRI,4.555501,7.249802,Bonny,,sw,UNKNOWN PERSON(S) INSTALLED 6'' BALL VALVE @ 12 O'CLOCK POSITION ON THE FACILITY FOR OIL THEFT ACTIVITY.,RI,,,,,6/20/2022,"nosdra,dpr,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,2022-06-24 PH048
233975,confirmed,ph,SPDC,2022-464326,6/17/2022,6/17/2022,other:,,,,pl,sab,nil,"28"" Bomu-Bonny TNP @ Freetown",4.524785,7.239719,Bonny,,"sw,ns",3'' IC or valve welded on the pipeline by unknown persons. it was a non-leaking point.,RI,,,,,7/2/2022,"cmmnt,nosdra,mnstry,plc,mltry,cmpny,oth",,,,,,,,,,,,,2024-03-24 AB017
234161,invalid,ph,Eroton E&P,2022_EEP_CC000195,6/15/2022,,cr,,2125,7/12/2022,wh,sab,bm,Cawthorn Channel 1 Well 15,4.544694,7.042889,Degema,,"sw,iw","Oil spilled from vandalised xmas tree. Surface water, shoreline, manmade structures, and mangrove swamp impacted",RI,,,,,7/15/2022,"nosdra,dpr,mnstry,cmmnt,cmpny",,,,,,,,,,,,,2022-08-03 PH002
233946,confirmed,ph,Eroton E&P,2022_EEP_CC000195,6/15/2022,6/16/2022,cr,3741,2641,7/13/2022,wh,sab,bm,CAWC1 WELL 15 WELL HEAD,4.544694,7.042889,Degema,,"iw,co",THERE WAS A SPILL FROM THE WELL HEAD AREA. THE SPILL FORMED A FOUNTAIN OF ABOUT 10 METER HIGH. AS AT THE TIME OF JIV (23/06/2022) THE SPILL WAS STILL ON. THERE IS A MASSIVE IMPACT ON THE ENVIRONMENT. RECOVERY IS ON GOING.,RI,,6/17/2022,8/24/2022,,8/2/2022,"cmmnt,cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,"2022-08-03 PH002, 2022-08-29 PH075, 2022-10-04 PH116"
233979,confirmed,ph,SPDC,2019__2417212,6/14/2022,,no,,,,pl,sab,,24'' NKPOKU-BOMU TNP @ EGBALOR-ELEME.,4.786716,7.185272,Eleme,,la,1.5'' VALVE WAS INSTALLED AT 12 0' CLOCK POSITION ON THE PIPELINE AND CONNECTED TO A 1.5'' GALVANIZED PIPE BY UNKNOWN PERSON(S).,RI,,,,,7/1/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2022-07-29 AB008
234487,reviewed,ph,SPDC,458946,6/12/2022,6/12/2022,cr,3,,6/22/2022,pl,sab,tr,"36""Nkpoku - Bomu pl at Ngbonchia",4.825472,7.136778,Eleme,0.001,la,Unknown person(s) made a pin hole on the facility at 9 O'clock position,RI,,,,7/15/2022,6/22/2022,"cmmnt,cmpny,dpr,mnstry,nosdra,mltry",,,,,9/22/2022,11/8/2023,11/30/2023,In-situ Landfarming @ 0.3m depth.,12/14/2023,12/18/2023,,,"2022-10-04 PH116, 2022-11-23 PH082, 2023-11-23 PH068, 2023-11-29 PH068, 2023-12-15 PH033, 2024-01-24 PH012"
231907,confirmed,ph,NAOC,2022/LAR/065,6/11/2022,6/11/2022,cr,17.5,0,,pl,sab,Non,"24"" Ogoda-Brass Pipeline at Oyigba, Ahoada-West LGA, Rivers State",5.092,6.564472,Ahoada-West,0.003,la,"Hacksaw Cuts at 10-12 O'Clock position, and 75.92m away at 2-3 O'Clock position on the Pipeline by Unknown Person(s)",RI,,,,,6/13/2022,"nosdra,cmpny,mnstry,cmmnt,mltry,plc",,,,,,,,,,,,,2022-07-04 AB017
231895,confirmed,ph,NAOC,2022/LAR/064,6/10/2022,6/10/2022,cr,9.2,,6/11/2022,pl,sab,,"18"" EBOCHA - OGODA P/L @ UBETA",5.119694,6.582417,Ahoada-West,0,la,150mm HACKSAW CUT WAS OBSERVED ON THE FACILITY AT 10 - 12 O' CLOCK POSITION.,RI,,,,,6/11/2022,"nosdra,mnstry,cmpny",,,,,,,,,,,,,2022-07-29 AB008
231945,confirmed,ph,NAOC,2022/LAR/063,6/6/2022,6/6/2022,co,6.92,5,6/7/2022,fl,sab,,Oshie 15Ss Flow line @ Oshie Community River Crossing.,5.103722,6.483,Yenagoa,0,la,Five(5) nos. Of hacksaw cuts were observed on the facility within a distance of 2m.,RI,,,,,6/7/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2022-07-04 AB017
231914,reviewed,ph,SPDC,452837,6/6/2022,6/7/2022,no,,,,pl,,,"SPDC 20"" Kolocreek - Rumuekpe pipeline at Owerewere, Abua - Odual LGA , Rivers state.",4.9619,6.586111,Abua-Odual,,la,,RI,,,,,6/10/2022,"nosdra,mnstry,cmmnt,cmpny,oth",,,,,,,,,,,,,2022-08-09 PH116
231866,confirmed,ph,NAOC,2022/LAR/GLI/028,6/4/2022,,no,,,,fl,sab,,OBIAFU 41/42T FLOWLINE AT OMOKU,5.394444,6.629806,Ogba/Egbema/Ndoni,,la,"UNKNOWN PERSONS INSTALLED 3"" BALL VALVE WITH PIPE CONNECTION AT 12 O'CLOCK POSITION ON THE FLOWLINE",RI,,,,,6/5/2022,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2022-06-20 AB017
231857,confirmed,ph,NAOC,2022/LAR/GLI/029,6/4/2022,6/4/2022,,,,,gl,sab,,"8'' OBOB-INDORAMA NGL DELIVERY LINE AT EBEGORO, ONELGA",5.353278,6.700639,Ogba/Egbema/Ndoni,,,2'' PIPE CONNECTION WAS INSTALLED ON THE FACILITY AT 10 O'CLOCK POSITION BY UNKNOWN PERSON(S) FOR THEFT,RI,,,,,6/5/2022,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2022-06-20 AB017
231829,confirmed,ph,SPDC,448110,6/3/2022,6/3/2022,cr,nil,nil,,pl,sab,none,20'' rumuekpe-nkpoku tnp @ ibaa,4.95335,6.84433,Ikwere,n/a,la,"4'' flange seen installed on p/l @ 12 o'clock by unknown persons, for theft purpose.",RI,,6/3/2022,6/18/2022,7/1/2022,6/6/2022,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,"2022-10-04 PH116, 2022-10-12 AB008"
231898,confirmed,ph,SPDC,441650,5/31/2022,5/31/2022,cr,1,,6/1/2022,pl,sab,none,"28"" Nkpoku- Bomu Pipeline, Agbonchia Eleme, Rivers State.",4.795416,7.127524,Eleme,0,la,A drilled hole at 12 O'clock position was seen. This is a result of Third Party Interference,RI,,6/2/2022,6/15/2022,6/28/2022,6/1/2022,"nosdra,mnstry,plc,cmpny,cmmnt",,,,11/4/2022,,12/2/2022,4/6/2023,Bio-remediation method.,,8/8/2023,,,2023-11-21 AB014
231865,confirmed,ph,NAOC,2022/LAR/060,5/30/2022,,cr,5,,6/4/2022,pl,sab,,"24"" OGODA-BRASS PIPELINE AT OSHIKA",5.072806,6.556806,Ahoada-West,0.001,ss,"UNKNOWN PERSONS INSTALLED 3"" BALL VALVE WITH PIPE CONNECTION AT 12 O'CLOCK POSITION ON THE PIPELINE",RI,,,,,6/4/2022,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2022-06-20 AB017
229368,confirmed,ph,SPDC,433385,5/27/2022,5/27/2022,cr,njl,nil,,pl,sab,,20'' kolocreek-rumuekpe @ okoma,4.972149,6.651275,Ahoada-East,n/a,la,4'' valve seen installed on p/l @ 12 o'clock by unknown persons for theft purpose,RI,,,,,5/31/2022,"cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,2022-07-05 AB017
229336,reviewed,ph,SPDC,2020-2660839,5/23/2022,5/23/2022,no,,,5/25/2022,pl,sab,,"28 INCH NKPOKU-BOMU TRUNKLINE AT KPOGHOR, TAI LOCAL GOVERNMENT AREA, RIVERS STATE",4.712,7.23215,Tai,,la,NO IMPACT ON THE ENVIRONMENT,RI,,,,,5/25/2022,"nosdra,cmpny,dpr,mnstry,cmmnt",,,,,,,,,,,,,2022-09-06 AB014
231828,confirmed,ph,NAOC,2022/LAR/057,5/22/2022,5/23/2022,co,0.23,,,fl,sab,,"Oshie 15SS FLOWLINE at Akinima Community Awelga, Rivers State.",5.103528,6.471417,Yenagoa,,,"Double hacksaw cuts were observed on the facility. At 5-7 O'clock position respectively, both cuts were 70mm wide with distance of 430mm observed between both cuts.",RI,,,,,5/23/2022,"cmmnt,cmpny,dpr,nosdra,mnstry",,,,,,,,,,,,,2022-06-20 AB017
231827,confirmed,ph,NAOC,2022/LAR/056,5/19/2022,5/19/2022,co,0.32,,,fl,sab,,"Oshie 15L and 15S FLOWLINE at Oshie Community, Awelga, Rivers State.",5.102778,6.487028,Ahoada-West,0,"la,ss","Two hack saw cuts observed on the facility. Both cuts were observed at 5-7 O'clock position, 70mm length with distance of 1630mm apart.",RI,,,,,5/23/2022,"cmmnt,cmpny,dpr,mnstry,nosdra,mltry",,,,,,,,,,,,,2022-06-20 AB017
229268,confirmed,ph,SPDC,2022-371223,5/5/2022,5/5/2022,cr,0.2,,5/6/2022,pl,sab,,"24"" nkpoku bomu pipeline sime rivers state",4.772747,7.20913,Tai,0.003,la,missing clamp from a previous clamped point,RI,,5/5/2022,5/16/2022,5/27/2022,5/5/2022,"nosdra,mnstry,dpr,cmpny,cmmnt,plc,mltry",,,,,,,,,,,,,2022-10-04 PH116
229219,confirmed,ph,NAOC,2022/lar/046/072,5/3/2022,5/4/2022,,9.9bbls,Nil,5/5/2022,pl,sab,,"24""Ogoda/Brass pipeline at oshika Ahoda west Rivers state",5.076472,6.558278,Ahoada-West,2376.90m2,"la,sw","6""valve was seen on the 12o'clock positive by unknown person /s/ for oil thieft activities",RI,,,,,5/5/2022,"cmmnt,cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,2022-06-28 AB017
229212,reviewed,ph,NAOC,2022/LAR/044,4/26/2022,,co,0.41,,5/2/2022,fl,sab,,OSHIE 15SS FLOWLINE AT OSHIE,5.103639,6.482,Yenagoa,0,la,80mm LONG HACKSAW CUT WAS OBSERVED BETWEEN 5-7 O'CLOCK POSITION ON THE FLOWLINE.,RI,,,,,5/2/2022,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2022-05-04 PH003
229167,confirmed,ph,SPDC,3088232,4/8/2022,4/8/2022,cr,,,,pl,sab,,"20"" KOLOCREEKE-RUMUEKPE PIPELINE ODAU KM 15",4.93692,6.49206,Abua-Odual,,sw,"• There was no visible oil spills on the pipeline and around the incident point as the site was reported a non-leak at the time of arrival of the joint investigation team (JIT), • Excavation was done manually so as to expose and ascertain the cause of incident, • The joint investigation team (JIT) observed a Drilled Hole at 12’O clock position on the 20” Kolocreek-Rumuekpe Pipeline at Odau (KM15) by Unknown persons, • A non-leak 4” ball valve was installed at 12’O clock position by Unknown persons",RI,,,,,4/10/2022,"cmmnt,cmpny,mnstry,nosdra,plc",,,,,,,,,,,,,2022-09-06 AB014
225254,reviewed,ph,NAOC,2022/LAR/034/053,4/4/2022,4/4/2022,cr,18.3,,4/5/2022,pl,sab,,"24"" OGODA-BRASS PIPELINE @ OSHIKA",5.072889,6.556833,Ahoada-West,0.002,la,"180mm LONG HACKSAW CUT WAS OBSERVED BETWEEN 12-2 O'CLOCK POSITION ON THE PIPELINE CAUSED BY UNKNOWN PERSONS, THE CRUDE OIL IMPACT WAS WITHIN AND OUTSIDE COMPANY'S RIGHT OF WAY.",RI,,,,,4/5/2022,"nosdra,mnstry,cmpny",,,,,,,,,,,,,2022-04-06 PH003
229136,confirmed,ph,NAOC,2022/LAR/031/043,3/19/2022,3/19/2022,co,3.57,,3/20/2022,fl,sab,other:,Retention Pit,5.389556,6.648639,Ogba/Egbema/Ndoni,,la,No Visible Sign of Impact as the Condensate was Confined to the Retention Pit.,RI,,,,,3/20/2022,"dpr,cmmnt,cmpny,nosdra,mnstry",3/20/2022,3/20/2022,Manual,7/6/2022,,,,,,,,,2024-04-15 AB017
223302,confirmed,ph,NAOC,2022/LAR/030,3/17/2022,3/17/2022,NIL,,,,fl,sab,,"OSHIE 15 SS FLOW LINE AT OSHIE COMMUNITY, AWELGA AHOADA",5.103667,6.482056,Yenagoa,,,3 NOs hacksaw cuts on flowline was observed at 4-6 O' clock positions. Fire incident was extinguished by NAOC fire team.,RI,,,,,3/18/2022,"nosdra,mnstry,dpr,cmmnt,cmpny,mltry",,,,,,,,,,,,,2022-03-28 AB008
223213,confirmed,ph,NAOC,2022/LAR/027,3/12/2022,3/12/2022,cr,5,,3/13/2022,fl,sab,,"OSHIE 15SS FLOWLINE, AKINIMA, AWELGA, RIVERS STATE",5.101722,6.464389,Yenagoa,321.88,la,TWO (2) HACKSAW CUTS WERE OBSERVED AT 321.06M APART. POINT 1 HAD 90MM LONG HACKSAW CUT OBSERVED AT 8-11 O'CLOCK POSITION WHILE POINT A HAD A 80MM LONG HACKSAW CUT OBSERVED AT 8-10 O'CLOCK POSITION. THERE WAS CRUDE OIL SPILL AS A RESULT AND IT AFFECTED THE ADJORNING FARM LAND OUTSIDE COMPANY ROW.,RI,,,,,3/13/2022,"dpr,cmmnt,cmpny,nosdra,mnstry",,,,,,,,,,,,,2024-05-14 AB014
223245,confirmed,ph,HHOG: HEIRS HOLDING OIL AND GAS LIMITED,IN-0731,3/11/2022,3/12/2022,,0.9,0.9,3/15/2022,pl,sab,,"8"" Delivery Line Along Obigbo-Afam Road",4.878778,7.133342,Oyigbo,0,la,Third party Interference by a construction company. Minimal Impact within the ROW,RI,,,,,3/15/2022,"nosdra,cmpny,cmmnt,mnstry,plc",,,,,,,,,,,,,"2022-03-28 AB008, 2022-03-29 AB008, 2022-04-07 AB008"
223185,confirmed,ph,NAOC,2022/LAR/025,3/4/2022,3/4/2022,co,3,,3/7/2022,fl,sab,pt,"Obiafu 41/42T flowline @ Obiafu Field, Omoku, ONELGA, Rivers State.",5.231,6.627111,Ogba/Egbema/Ndoni,0,ss,"Condensate was found on the spill area. Oil stains on surrounding vegetation. Manual dogged pit were observed containing condensate. 160mm Hacksaw cut @ 6-8 0' Clock position were observed on the 10"" Flow line after excavation.",RI,,,,,3/7/2022,"cmpny,mnstry,nosdra,cmmnt",,,,,,,,,,,,,2024-05-14 AB014
223443,confirmed,ph,NAOC,2022/LAR/023/141,2/28/2022,2/28/2022,co,7,,3/2/2022,fl,sab,,OSHIE 15S F/L @OSHIE,5.103611,6.482028,Yenagoa,0.001,la,unknown person(S) inflicted the facility with twelve number hack saw cuts of different dimensions and positions respectively,RI,,,,,3/2/2022,"nosdra,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,"2022-04-03 PH048, 2022-08-08 PH048, 2024-04-15 AB017"
223309,confirmed,ph,SPDC,3085814,2/28/2022,2/28/2022,cr,2,,3/2/2022,pl,sab,,"14"" OKORDIA-RUMUEKPE PIPELINE @ UKPELEIDE, AHOADA WEST LGA, RIVERS STATE",5.08862,6.53407,Ahoada-West,0.003,la,THE SPILL WAS CONSUMED BY FIRE SUSPECTED TO EMANATE FROM A NEARBY ILLEGAL REFINERY.,RI,,3/1/2022,3/10/2022,,3/2/2022,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,2/11/2023,,,,,4/28/2023,5/19/2023,,,2024-04-15 AB017
223444,confirmed,ph,NAOC,2022/LAR/022,2/27/2022,2/27/2022,co,1.2,,2/28/2022,fl,sab,nd,OSIE 15S F/L @ AKINIMA,5.094,6.4804,Yenagoa,0,la,UNKNOWN PERSON(s) INFLICTED THE FACILITY WITH TWO DIFFERET DIMENSION OF CHT ST TWO DIFFERENCE POSITION ABOUT 5.3m APART.,RI,,,,,2/28/2022,"nosdra,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,"2022-04-03 PH048, 2024-04-15 AB017"
223308,confirmed,ph,NAOC,2022/LAR/022,2/27/2022,2/27/2022,co,1.2,,2/28/2022,fl,sab,nd,OSHIE 15S F/L @ AKINIMA,5.0953,4.5447,Sagbama,0,la,"UNKNOWN PERSON(S) INFLICTED THE FACILITY WITH TWO HACKSAW CUTS AT POINT A AND POINT B RESPECTIVELY. THE LENGHTS OF THE CUTS COVERED 3,4,5,6 O'CLOCK RESPECTIVELY AT BOTH POINTS.",RI,,,,,2/28/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2024-04-15 AB017
222562,confirmed,ph,SPDC,3085275,2/23/2022,2/23/2022,cr,10,0,2/23/2022,pl,sab,dk,"20"" KoloCreek-Rumuekpe Pipeline at Ahoada East LGA, Rivers State",4.97042,6.63627,Ahoada-East,0.001,la,"3"" Ball Valve installed at 12 O'clock position on the Pipeline by Unknown persons",RI,,2/24/2022,3/4/2022,3/22/2022,2/23/2022,"nosdra,cmpny,mnstry,cmmnt,plc,mltry",,,,6/6/2022,,,,,,2/8/2023,,,2024-04-15 AB017
222663,confirmed,ph,SPDC,2022_3085292,2/22/2022,2/23/2022,other: OIL POLLUTION (NON-LEAKING),,,2/25/2022,pl,sab,NONE,,4.953281,6.847115,Ikwere,,la,• a 4’’ ball valve with 3’’ pipe installation at 12 O’clock position was connected illegally to the pipeline (see figure 2). • the spill point was a non-leaking point (see figure 2). • No environmental impact recorded since it was a non-leaking point.,RI,,,,,2/25/2022,"nosdra,mnstry,cmpny,plc,cmmnt",,,,,,,,,,,,,2024-04-15 AB017
222662,confirmed,ph,SPDC,2022_3085299,2/22/2022,2/23/2022,other: oil pollution (non-leaking),,,2/25/2022,pl,sab,none,20'' RUMUEKPE-NKPOKU PIPELINE AT IBAA,4.953423,6.82883,Emuoha,,la,• a 4’’ ball valve with 3’’ arc shaped pipe installation at 12 O’clock position was connected illegally to the pipeline. • the spill point was a non-leaking point.,RI,,,,,2/25/2022,"nosdra,mnstry,cmpny,plc,cmmnt",,,,,,,,,,,,,2024-04-15 AB017
222661,confirmed,ph,SPDC,20022_3085302,2/22/2022,2/23/2022,other: oil pollution (non-leaking),,,2/23/2022,pl,sab,none,,4.954082,6.821203,Emuoha,,la,• a 6’’ flange reduced to 4’’ flange with 4’’ ball valve installation at 12 O’clock position was connected illegally to the pipeline. • the spill point was a non-leaking point . • No environmental impact recorded since it was a non-leaking point.,RI,,,,,2/26/2022,"nosdra,mnstry,cmpny,plc,cmmnt",,,,,,,,,,,,,2024-04-15 AB017
222660,confirmed,ph,SPDC,2022_3085295,2/22/2022,2/23/2022,other: oil pollution (non-leaking),,,2/25/2022,pl,sab,none,20'' RUMUEKPE-NKPOKU PIPELINE AT IBAA,4.955073,6.844304,Ikwere,,la,• a 4’’ ball valve with 3’’ pipe installation at 12 O’clock position was connected illegally to the pipeline. • the spill point is a non-leaking point . • No environmental impact recorded since it was a non-leaking point.,RI,,,,,2/25/2022,"nosdra,mnstry,cmpny,plc,cmmnt",,,,,,,,,,,,,2024-04-15 AB017
223458,confirmed,ph,SPDC,3085130,2/21/2022,2/21/2022,no,,,,pl,sab,,"New 20"" Kolo Creek-Rumuekpe Pipeline at Odau.",4.928111,6.436056,Ogbia,,la,"A 3"" ball valve attached to a 3"" galvanized pipe connection was seen installed on the pioeline at 12 O'clock position by unknown person(s) for crude oil theft purpose.",RI,,,,,3/25/2022,"nosdra,mnstry,cmpny,cmmnt,oth",,,,,,,,,,,,,2024-04-15 AB017
223457,confirmed,ph,SPDC,3085129,2/21/2022,2/21/2022,no,,,,pl,sab,,"Old 20"" Kolo Creek-Rumuekpe Pipeline at Odau",4.927861,6.434528,Ogbia,,la,"A 3"" ball valve attached to a 3"" galvanized pipe connection was seen installed on the pipeline at 12 O'clock position by unknown person(s) for crude oil theft purpose.",RI,,,,,3/25/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2024-04-15 AB017
223455,confirmed,ph,SPDC,3085128,2/21/2022,2/21/2022,no,,,,pl,sab,,"New 20"" Kolo Creek-Rumuekpe Pipeline at Odau",4.927889,6.434522,Ogbia,,la,"A 3"" ball valve attached to a 3"" galvanized pipe connection was seen installed on the pipeline at 12 O'clock position by unknown person(s) for crude oil theft purpose.",RI,,,,,3/25/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2024-04-15 AB017
223452,confirmed,ph,SPDC,3085141,2/21/2022,2/22/2022,no,,,,pl,sab,,"Old 20"" Kolo Creek-Rumuekpe Pipeline at Okoma",4.971417,6.644639,Ahoada-East,,la,"A 2"" ball valve attached to a 2"" galvanized pipe connection was seen installed on the pipeline at 12 O'clock position by unknown person(s) for crude oil theft purpose.",RI,,,,,3/22/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2024-04-15 AB017
223440,confirmed,ph,SPDC,3085140,2/21/2022,2/22/2022,no,,,,pl,sab,,"Old 20"" Kolo Creek-Rumuekpe Pipeline at Okporowo Community.",4.971111,6.642361,Ahoada-East,,la,"A 3"" ball valve connected to a 3"" galvanized pipe line out was seen installed on the pioeline at 12 O'clock position by unknown person(s) for crude oil theft purpose.",RI,,,,,3/19/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2024-04-15 AB017
