ID,Status,Zonal_Office,Company,Inceident_Num,Incident_Date,Report_dDate,Containment,Estimated_Quantity,Recovered,Spill_stop_date,Facility,Cause,Initial_containment_measure,Site,Latitude,Longitude,LGA,Estimated_Spill_Area,Spiill_Area_Habitat,Impact,State,,,,,,,,,,,,,,,,,,,
330198,confirmed,ph,SPDC,3208680,6/17/2024,6/17/2024,cr,2.0000,,6/22/2024,pl,sab,,20'' KOLOCREEK - RUMUEKPE PIPELINE @ OWEREWERE,4.958630,6.579950,Abua-Odual,0.0001,la,2-inch ball valve was SEEN installed on the pipeline by an unidentified individual.,RI,,,,,6/22/2024,"nosdra,mnstry,cmmnt,cmpny,mltry,plc",,,,7/3/2024,,,,,8/19/2024,,,,"2024-07-18 AB017, 2024-08-29 PH117"
330142,confirmed,ph,SPDC,3208010,6/17/2024,6/17/2024,no,,,,pl,sab,,"24"" Ogale-Bonny TNP at Agbeta",4.803590,7.162120,Eleme,,la,1” ball valve and locally fabricated connected to 1” pipe with elbow pipeline out at unknown destination connected on the 24” pipeline,RI,,,,,6/18/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-28 AB017
330110,confirmed,ph,SPDC,3207934,6/17/2024,6/17/2024,cr,0.7000,,6/17/2024,pl,eqf,,"36"" Rumuekpe/Nkpoku Pipeline at Rumuji",4.954995,6.786759,Emuoha,0.0001,la,There was minimal impact within the company's right of way,RI,,,,,6/18/2024,"nosdra,cmpny,cmmnt,mltry,plc,mnstry",,,,,,,,,9/18/2024,,,,"2024-07-08 AB017, 2024-09-20 PH151"
335695,confirmed,ph,Heirs Energies Limited,IN-0452,6/16/2024,6/16/2024,cr,,,,pl,sab,,"8"" Umuechem/Nkpoku Delivery line at Umuechem community.",4.999806,7.021506,Etche,,la,"A 2"" ball valve was observed to have been illegally installed on the pipeline, at 12 O' Clock position, by unknown person(s) for oil theft purpose, on the 8"" delivery line. it was a non-leak point at the time of JIV.",RI,,,,,6/17/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-08 AB017
335693,confirmed,ph,Heirs Energies Limited,IN-0341,6/16/2024,6/16/2024,cr,0.0629,0.0314,6/17/2024,pl,sab,pt,"8"" UMUECHEM/NKPOKU DELIVERY LINE AT OMUOLU COMMUNITY",5.001292,7.021700,Etche,0.0000,la,"Two, 2"" ball valves, were connected to a galvanized pipe extension. with an elbow and flanges illegally installed on the pipeline at 12 O' Clock position, by unknown person(s) for oil theft purpose.",RI,,,,,6/17/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-08 AB017
330090,confirmed,ph,NAOC,2024/lar/052,6/16/2024,6/16/2024,,2.8800,,,pl,sab,tr,"18'' Ebocha-Ogoda pipeline at Mgbede, Onelga Rivers state",5.441722,6.693972,Ogba/Egbema/Ndoni,262.0000,la,3'' Ball valve and 3'' Galvanized pipe Riser was seen installed at 12o'clock position by unknown person(s) for crude oil theft.,RI,,,,,6/16/2024,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2024-07-18 AB017
330180,confirmed,ph,NAOC,2024/LAR/051,6/15/2024,6/15/2024,cr,4.0600,,6/16/2024,pl,sab,,"18"" Ebocha Ogoda pipeline @Oboburu community,Onelga",5.212250,6.591861,Ogba/Egbema/Ndoni,,la,A 120mm hack saw cut was found on the pipeline at 1-2 o'clock position for oil theft activity.,RI,,,,,6/16/2024,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2024-07-09 AB017
330100,confirmed,ph,Heirs Energies Limited,In-0802,6/15/2024,6/15/2024,cr,O.2,,6/15/2024,fl,eqf,sb,"Well 10, 4""Nkali flowline at Odogwa 2 Etche, Rivers state",4.976608,7.107475,Etche,0.0001,la,Pressure from flowline creates fountain affecting surrounding vegetation,RI,,,,,6/16/2024,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,2024-07-09 AB017
330196,confirmed,ph,NAOC,2024/LAR/049,6/13/2024,6/13/2024,cr,49.0000,37.7400,,fl,sab,bm,"4"" Mgbede 17T Flowline@Okwuzi.",5.493167,6.718889,Ogba/Egbema/Ndoni,0.0006,"la,iw",Oil leak was observed at 6 O’clock position from a third party weld point on the facility.,RI,,,,,6/24/2024,"cmmnt,cmpny,mnstry,nosdra,plc",,,,,,,,,,,,,2024-07-18 AB017
330168,confirmed,ph,Heirs Energies Limited,156,6/13/2024,,cr,,,,pl,sab,,"8"" Nkali Dilivery line odogwa in Etche LGA Rivers state",4.985800,7.147622,Etche,,,,RI,,,,,6/14/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-18 AB017
330187,confirmed,ph,SPDC,3189349,6/12/2024,6/13/2024,no,,,,pl,sab,nd,"12'' Ogale Ebubu At Obolo, Eleme LGA, R/S.",4.784381,7.148481,Eleme,,la,1'' nipple connection attached to a locally fabricated clamp at 12 o'clock position,RI,,,,,6/14/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-28 AB017
330113,confirmed,ph,NAOC,2024/LAR/048,6/11/2024,6/11/2024,cr,5.0000,4.0000,,pl,sab,,"8T FLOWLINE BEFORE IDIA BRIDGE OBIAFU FIELD ,ONELG",5.398861,6.628083,Ogba/Egbema/Ndoni,,la,"3MM DRILLED HOLE, UNKNOWN PERSON(S) TAMPERED ON THE PIPELINE FOR OIL THEFT ACTIVITIES",RI,,,,,6/13/2024,"cmmnt,cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,2024-07-18 AB017
330112,confirmed,ph,NAOC,2024/lar/047,6/11/2024,6/11/2024,cr,8.6000,6.0000,,pl,sab,,"35L FLOW LINE before Idiah brdige, Obiafu field, Omoku, ONELGA,Rivers State",5.398861,6.628083,Ogba/Egbema/Ndoni,501.79m2,,1''Threaded nipple was installed on the flowline by unknown person(s) at 6 o'clock position for oil theft activities,RI,,,,,6/13/2024,"cmmnt,cmpny,mnstry,nosdra,dpr",,,,,,,,,,,,,2024-07-18 AB017
330052,confirmed,ph,Heirs Energies Limited,In-0430,6/10/2024,6/10/2024,cr,1.0000,0.5000,,pl,eqf,tr,"8"" Nkali-Imo River pipeline at Odogwa, Etche, R/S.",4.985650,7.148436,Etche,,la,Oil leak from previously repaired clamp at 3.o clock position was observed. Oil was contained within a trench.,RI,,,,,6/11/2024,"cmmnt,cmpny,dpr,mltry,mnstry,nosdra",,,,,,,,,,,,,2024-07-18 AB017
330091,confirmed,ph,SPDC,3135451,6/6/2024,6/6/2024,cr,,,,pl,sab,,36'' RUMUEKPE NKPOKU PIPELINE NDELE RIVERS STATE,4.958180,6.756840,Emuoha,,,UNKNOWN PERSON INSTALLED 2'' BALL VALVE AT 12 O CLOCK POSITION,RI,,,,,6/8/2024,"nosdra,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,2024-06-28 AB017
335692,confirmed,ph,nyd,2024/NEOL/ALAK010,6/2/2024,6/3/2024,cr,40.0000,18.0000,6/13/2024,wh,sab,bm,"OML-18, ORUBIRI (ABILA) WELL 7LS.",4.687083,7.018889,Degema,0.1166,la,"Two (2), 3"" wellhead outlet valves, that were missing; and replaced with 4"" pipes, connected by hoses to the Christmas tree. the team also noticed the Christmas tree cap was missing.",RI,,,,,6/13/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-25 AB008
330223,confirmed,Ph,spdc,3123697,6/1/2024,6/1/2024,cr,0.5000,,6/1/2024,pl,sab,"pt,nd","14"" Okordia-Rumuekpe pipeline at Emohua community, Ahoda East LGA, Rivers state",5.029800,6.611565,Ahoada-East,0.0200,la,Vegetation impacted within ROW,RI,,,,,6/3/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-27 PH154
329905,confirmed,ph,SPDC,3092449,5/27/2024,5/27/2024,cr,0.0500,,5/30/2024,pl,sab,sb,28 INCHE NKPOLU EBUBU TRUNCKLINE @ RUMUONHA ENEKA RIVERS STATE,4.894130,7.023300,Obio/Akpor,,,3 NOS ball valve Installed by unknown person for oil theft activities,RI,,,,,5/30/2024,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,8/1/2024,,,,"2024-07-01 AB017, 2024-08-07 PH094, 2024-08-12 PH094"
329976,confirmed,ph,SPDC,3088382,5/26/2024,5/26/2024,cr,5.0000,4.0000,5/30/2024,pl,sab,none,20'' kolocreek - Rumukpe P/L @ Owerewere,4.955961,6.597858,Abua-Odual,0.0100,la,oil stained soil,RI,,,,,5/28/2024,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-28 AB017
330224,confirmed,ph,spdc,3085645,5/25/2024,5/26/2024,no,,,,pl,sab,,"20"" new kolocreek -Rumuekpe pipeline at Odua, Abuja/Odua LGA Rivers state",4.927560,6.434600,Ogbia,,la,No spill,RI,,,,,5/31/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-28 AB017
330047,confirmed,ph,NAOC,2024/LAR/041,5/25/2024,5/25/2024,cr,,,5/25/2024,pl,sab,,"18"" EBOCHA-OGODA PIPELINE AT MGBEDE COMMUNITY",5.441000,6.693722,Ogba/Egbema/Ndoni,,la,"INSTALLATION OF 3"" VALVE AT 12 O' CLOCK POSITION OF THE PIPELINE",RI,,,,,5/25/2024,"cmmnt,mnstry,cmpny,nosdra,plc,mltry",,,,,,,,,,,,,2024-07-01 AB017
329875,confirmed,ph,SPDC,3032826,5/20/2024,5/20/2024,no,,,5/20/2024,pl,sab,None,"12"" Soku-Sanbarth Export line at Soku, Akuku-Toru L.G.A, Rivers State.",4.607230,6.654480,Akuku-Toru,,sw,"Two 4"" ball valve connected together with two 4"" flanges and attached at 12O'clock position to the 12"" SPDC pipeline with a 4"" riser connecting the ball valves to a 4"" illegal pipeline.",RI,,,,,5/21/2024,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2024-06-28 AB017
329131,confirmed,ph,Heirs Energies Limited,IN-0990,5/20/2024,5/20/2024,cr,,,5/21/2024,pl,sab,,"18"" Nkali-Imo river D/L Umuedeokwara Odegwa Etche L.G.A, Rivers state",4.984942,7.165161,Etche,,la,"A 2"" ball valve installed @ 12 0' clock position of the D/L by unknown person(s) for oil theft activity",RI,,,,,5/21/2024,"cmmnt,nosdra,cmpny,mnstry",,,,,,,,,,,,,2024-07-01 AB017
329132,confirmed,ph,SPDC,3031279,5/19/2024,5/19/2024,cr,868.0000,670.0000,5/19/2024,pl,sab,bm,"24"" OGALE-BONNY PIPELINE AT EGBALOR COMMUNITY",4.782890,7.191890,Eleme,0.7500,la,"Re-impact at EGBALOR COMMUNITY, 2"" Ball valve attached to 24"" OGALE-BONNY PIPELINE at 12 'O' clock position at EGBALOR COMMUNITY by unknown persons",RI,,,,,5/21/2024,"cmmnt,cmpny,mltry,mnstry,nosdra,plc",,,,5/30/2024,,,,,,,,,2024-06-28 AB017
335401,confirmed,ph,SPDC,3137858,5/15/2024,5/16/2024,cr,1.0000,,,pl,sab,,"14"" Okordia-Rumuekpe pipeline at Ikata, Ahoada East LGA Rivers state",5.043348,6.590670,Ahoada-West,,la,No leak but environment was impacted due to the previous illegal bunkary activities,RI,,,,,6/4/2024,"nosdra,mnstry,cmpny,cmmnt",,,,6/24/2024,,,,,,,,,"2024-07-09 AB017, 2024-10-16 PH002"
329879,confirmed,ph,SPDC,2813393,5/15/2024,5/15/2024,no,,,5/15/2024,pl,sab,,"12"" Soku-Sanbarth Export line at Soku, Akuku-Toru L.G.A, Rivers State.",4.626590,6.643500,Akuku-Toru,,,"4"" ball valve connected to two 4"" flanges attached at 12O'clock position on the 12"" SPDC pipeline and a 4"" riser connecting the ball valve to a 4"" illegal pipeline.",RI,,,,,5/16/2024,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,"2024-06-28 AB017, 2024-10-15 AB014"
329091,confirmed,ph,SPDC,2813754,5/15/2024,5/15/2024,no,,,,pl,sab,,"20'' RUMUEKPE-NKPOKU PIPELINE AT OMUIKE ALUU, IKWERRE LGA RIVERS STATE.",4.949292,6.922528,Ikwere,,la,2'' BALL VALVE INSTALLED ON A 20'' TNP AT OMUIKE ALUU,RI,,,,,5/18/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-28 AB017
329058,confirmed,ph,SPDC,2813623,5/15/2024,5/15/2024,no,0.0000,0.0000,5/18/2024,pl,sab,other:,"24"" Ogale/Bomu pipeline @Nonwa Uedeme",4.764900,7.219930,Tai,0.0000,la,"2"" ball valve installed on the 24"" TNP @ 12 O'Clock position by unknown persons for bunkery purpose.",RI,,,,,5/18/2024,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,"2024-06-28 AB017, 2024-09-01 PH002"
329055,confirmed,ph,NAOC,2024/LAR/GLI/030,5/13/2024,5/13/2024,,,,,gl,sab,,"24'' OBOB-RUMUJI GTS-4 PIPELINE AT EGBADA OMOKU, RIVERS STATE",5.345194,6.675000,Ogba/Egbema/Ndoni,,la,255mm HACKSAW CUT WAS SEEN ON THE 24'' OBOB RUMUJI GTS-4 PIPELINE BY UNKOWN PERSON OR PERSONS FOR OIL THEFT ACTIVITIES,RI,,,,,5/17/2024,"cmmnt,cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,2024-07-01 AB017
325683,confirmed,ph,Heirs Energies Limited,IN-0097,5/13/2024,5/14/2024,cr,1.0000,,5/14/2024,fl,sab,other: line was shut in,"4"" well 10Lflowline to Nkali flowstation @ Odagwa.",4.975269,7.104864,Etche,0.0001,la,Spill affected only Company ROW,RI,,,,,5/14/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-01 AB017
330085,confirmed,ph,NAOC,2024/LAR/039,5/11/2024,5/11/2024,cr,17.3200,,5/11/2024,pl,sab,nd,"10” Kwale-Akri Pipeline at Odugri Community, ONELGA, Rivers State.",5.634722,6.638778,Ogba/Egbema/Ndoni,0.0017,la,Minimal impact on vegetation,RI,,,,,6/7/2024,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,2024-07-01 AB017
325684,confirmed,ph,NAOC,2024/LAR/037,5/11/2024,5/11/2024,cr,0.0170,,5/11/2024,pl,sab,,"10” Oshie-Ogoda Pipeline at Ogoda Community, AWELGA, Rivers State.",5.114556,6.568722,Ahoada-West,0.0000,la,Minimal impact on a bare land,RI,,,,,5/12/2024,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,2024-07-01 AB017
327632,confirmed,ph,SPDC,2149482,4/27/2024,4/28/2024,no,,,,pl,sab,,"36"" Rumuekpe -nkpoku pipeline at Rumuji Emohua LGA Rivers state",4.958586,6.786978,Emuoha,,la,No impact because there was no Spill,RI,,,,,5/9/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2024-06-28 AB017, 2024-07-09 AB017"
327631,confirmed,ph,SPDC,2149436,4/27/2024,4/28/2024,no,,,,pl,sab,,"36"" Rumuekpe -nkpoku pipeline at Rumuji, Emohua LGA Rivers state",4.958586,6.750000,Emuoha,,la,No impact because there was no Spill,RI,,,,,5/9/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2024-06-28 AB017, 2024-07-09 AB017"
327577,confirmed,ph,SPDC,2149482,4/27/2024,4/28/2024,no,,,,pl,sab,,"36"" Rumuekpe -nkpoku pipeline at Ibaa Emohua LGA Rivers state",4.952946,6.849736,Ikwere,,la,No impact because there was no,RI,,,,,5/4/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2024-06-28 AB017, 2024-07-09 AB017"
327572,confirmed,ph,SPDC,2149188,4/27/2024,4/27/2024,no,,,,pl,sab,,"36"" Rumuekpe -nkpoku pipeline at Ibaa Emohua LGA Rivers e",4.952944,6.849860,Ikwere,,la,No impact because there was no Spill,RI,,,,,5/4/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2024-06-28 AB017, 2024-07-09 AB017"
327569,confirmed,ph,SPDC,2145233,4/27/2024,5/28/2024,no,,,,pl,sab,,"36"" Rumuekpe-nkpoku at Ibaa, Emohua LGA Rivers i",4.953184,6.843096,Emuoha,,la,No impact because there was no Spill,RI,,,,,5/4/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2024-06-28 AB017, 2024-07-09 AB017"
327580,confirmed,ph,SPDC,2145030,4/26/2024,4/27/2024,no,,,,pl,sab,,"36"" Rumuekpe -nkpoku pipeline at Ibaa Emohua LGA Rivers state",4.953019,6.842717,Emuoha,,la,No impact because there was no Spill,RI,,,,,5/4/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"2024-06-28 AB017, 2024-07-09 AB017"
327578,confirmed,ph,SPDC,2145119,4/26/2024,4/27/2024,no,,,,pl,sab,,"36"" Rumuekpe-nkpoku at Ibaa Emohua LGA Rivers state",4.953019,6.843096,Emuoha,,la,No impact on the environment because there was no Spill,RI,,,,,5/4/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-09 AB017
319772,invalid,ph,SPDC,2254823,4/25/2024,4/25/2024,cr,,,,pl,sab,,"20"" Rumuekoe to Nkpoku Pipeline @Ibaa,",4.571588,6.484338,Emuoha,,la,"Spill Point 1: Upon excavation,there was underground sipped oil. The repaired clamp was tampered with as 2/6 of the total bolts on the clamp was slackened. The 1st and the 3rd bolts were found loosened at 3'o Clock position Spill Point 2: At 9'o clock position and 3'o clock position, the 2nd bolt on both sides of the repaired clamp were slackened and water was dripping from the bolts",RI,,,,,4/26/2024,,,,,,,,,,,,,,2024-04-30 AB017
319771,invalid,ph,SPDC,2254823,4/25/2024,4/25/2024,cr,,,,pl,sab,,"20"" Rumuekoe to Nkpoku Pipeline @Ibaa,",4.571588,6.484338,Emuoha,,la,"Spill Point 1: Upon excavation,there was underground sipped oil. The repaired clamp was tampered with as 2/6 of the total bolts on the clamp was slackened. The 1st and the 3rd bolts were found loosened at 3'o Clock position Spill Point 2: At 9'o clock position and 3'o clock position, the 2nd bolt on both sides of the repaired clamp were slackened and water was dripping from the bolts",RI,,,,,4/26/2024,,,,,,,,,,,,,,2024-05-13 AB017
319769,confirmed,ph,Heirs Energies Limited,IN-024,4/24/2024,4/24/2024,cr,1.0000,,4/26/2024,other: delivery line,sab,NONE,6''OBIGBO-OGALE DELIVERY LINE @UMUSIA,4.856528,7.145861,Eleme,1.5600,la,OIL STAINED SOIL and VEGETATION,RI,,,,,4/26/2024,"cmmnt,cmpny,dpr,mnstry,nosdra",,,,,,,,,,,,,"2024-04-30 AB017, 2024-05-13 AB017, 2024-06-09 AB017"
320021,confirmed,ph,TOTALENERGIES EP NIGERIA LTD,TUCN/JVA/ON-004/2024,4/22/2024,4/23/2024,no,,,,fl,sab,,"OB 107 Flowline at Ede Community ONELGA, Rivers State",5.261781,6.665199,Ogba/Egbema/Ndoni,,la,"A 6"" Pipe with 3"" Ball Valve installed at 12 o'clock position by unknown person(s).",RI,,,,,4/24/2024,"nosdra,dpr,mnstry,cmmnt,mltry,cmpny",,,,,,,,,,,,,"2024-04-30 AB017, 2024-05-13 AB017"
319568,confirmed,ph,Heirs Energies Limited,IN-0378,4/19/2024,4/19/2024,cr,1.4500,0.0063,4/19/2024,pl,eqf,tr,8 Inches Nkali-Imo River Delivery line at Umuokechi community,4.983962,7.123011,Etche,0.0000,la,Clamp failure on the pipeline. There were two (2) clamps that failed close to each other on the same pipeline. The second clamp spilled 0.0063BBL. Oil stained soil surface.,RI,,,,,4/20/2024,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-04-24 AB017
319565,confirmed,ph,Heirs Energies Limited,IN- 0546,4/19/2024,4/19/2024,cr,0.0190,,4/19/2024,pl,eqf,tr,8 Inches Nkali- Imo River Delivery line at Umuosolor.,4.984435,7.129418,Etche,,la,Clamp failure on the pipeline. Oil stained soil surface.,RI,,,,,4/20/2024,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-04-24 AB017
319741,confirmed,ph,SPDC,2236214,4/18/2024,4/19/2024,no,,,,pl,sab,,"14"" Okordia-Rumuekpe Pipeline at Edeoha, Ahoda East LGA, Rivers State",5.022410,6.624570,Ahoada-East,,la,100mm Hacksaw Cut was observed at 10-11 o'clock position on the Pipeline; caused by Unknown Person(s),RI,,,,,4/22/2024,"nosdra,cmpny,cmmnt,dpr,mnstry,mltry",,,,,,,,,,,,,2024-05-13 AB017
319740,confirmed,ph,SPDC,2236046,4/18/2024,4/19/2024,no,,,,pl,sab,,"14"" Okordia-Rumuekpe Pipeline at Ula-Okobo, Ahoda West LGA, Rivers State",5.067810,6.566240,Ahoada-West,,la,100mm Hacksaw Cut was observed at 1-2 o'clock position on the Pipeline; caused by Unknown Person(s),RI,,,,,4/22/2024,"nosdra,cmpny,cmmnt,dpr,mnstry,mltry",,,,,,,,,,,,,2024-05-13 AB017
319561,confirmed,ph,Heirs Energies Limited,IN-0282,4/18/2024,4/18/2024,cr,0.0130,,4/18/2024,pl,sab,tr,8 Inches Nkali-Imo River Delivery Line at Umudokwara - Odogwa,4.985862,7.149606,Etche,,la,A plugged pin hole at 12O'Clock position on the pipeline. Oil stained vegetation,RI,,,,,4/19/2024,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-04-24 AB017
319557,invalid,ph,SPDC,2232537,4/18/2024,4/18/2024,cr,0.0629,,,pl,sab,,"20"" RUMUEKPE - NKPOKU P/L @ RUMUEKPE",4.969389,6.725133,Emuoha,,la,,RI,,,,,4/19/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-06-27 PH116
319520,confirmed,ph,NAOC,2024/LAR/033,4/16/2024,4/16/2024,cr,0.7500,,4/17/2024,fl,sab,tr,"4'' Ebegoro 2T Flowline at Omoku, ONELGA Rivers State",5.214460,6.395040,ONELGA,30.0000,la,Pool of crude contained with trenches.,RI,,,,,4/17/2024,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,2024-04-30 AB017
319734,invalid,ph,naoc,2024/lar/032,4/13/2024,4/13/2024,co,4.0000,nil,4/14/2024,pl,sab,tr,"8"" obiafu 43/44t pipeline @ obiafu field",5.412611,6.587167,Ogba/Egbema/Ndoni,0.0003,la,160mm hacksaw cut inflicted on the facility at 3-6 o clock position,RI,,,,,4/14/2024,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2024-04-24 AB017
